run,date,build_hash,backend,angle,preset,routeHash,avg_fps,low1_fps,hitch_1s,calls,programs,textureGpuMB,jsHeapPeakMB,processRAMGB,crash,errors
1,2026-08-26T10:42:42.435Z,9c86125,WebGPU,"ANGLE (Intel, Intel(R) Arc(TM) Graphics (0x00007D55) Direct3D11 vs_5_0 ps_5_0, D3D11)",low,m0b-bench-v3-mainpath,125.22,33.78,0,63,40,36.88,119.53,확인 불가,0,0
2,2026-08-26T10:43:48.095Z,9c86125,WebGPU,"ANGLE (Intel, Intel(R) Arc(TM) Graphics (0x00007D55) Direct3D11 vs_5_0 ps_5_0, D3D11)",low,m0b-bench-v3-mainpath,124.78,31.45,0,63,40,36.88,193.07,확인 불가,0,0
3,2026-08-26T10:44:54.668Z,9c86125,WebGPU,"ANGLE (Intel, Intel(R) Arc(TM) Graphics (0x00007D55) Direct3D11 vs_5_0 ps_5_0, D3D11)",low,m0b-bench-v3-mainpath,125.32,33.31,0,63,40,36.88,200.59,확인 불가,0,0
median,2026-08-26T10:44:54.669Z,9c86125,WebGPU,"ANGLE (Intel, Intel(R) Arc(TM) Graphics (0x00007D55) Direct3D11 vs_5_0 ps_5_0, D3D11)",low,m0b-bench-v3-mainpath,125.22,33.31,0,63,40,36.88,193.07,확인 불가,0,0
