run,date,build_hash,backend,angle,preset,routeHash,avg_fps,low1_fps,hitch_1s,calls,programs,textureGpuMB,jsHeapPeakMB,processRAMGB,crash,errors
1,2026-08-26T17:30:32.664Z,8b85849,WebGPU,"ANGLE (Intel, Intel(R) Arc(TM) Graphics (0x00007D55) Direct3D11 vs_5_0 ps_5_0, D3D11)",low,m0b-bench-v3-mainpath,123.75,22.39,0,63,62,71.87,177.13,확인 불가,0,0
median,2026-08-26T17:30:32.665Z,8b85849,WebGPU,"ANGLE (Intel, Intel(R) Arc(TM) Graphics (0x00007D55) Direct3D11 vs_5_0 ps_5_0, D3D11)",low,m0b-bench-v3-mainpath,123.75,22.39,0,63,62,71.87,177.13,확인 불가,0,0
