run,date,build_hash,backend,angle,preset,routeHash,avg_fps,low1_fps,hitch_1s,calls,programs,textureGpuMB,jsHeapPeakMB,processRAMGB,crash,errors
1,2026-08-26T18:10:14.834Z,863860f,WebGL2,"ANGLE (Intel, Intel(R) Arc(TM) Graphics (0x00007D55) Direct3D11 vs_5_0 ps_5_0, D3D11)",low,m0b-bench-v3-mainpath,121.65,16.83,1,63,62,71.87,188.78,확인 불가,0,0
2,2026-08-26T18:11:19.770Z,863860f,WebGL2,"ANGLE (Intel, Intel(R) Arc(TM) Graphics (0x00007D55) Direct3D11 vs_5_0 ps_5_0, D3D11)",low,m0b-bench-v3-mainpath,125.7,30.99,0,63,62,71.87,247.76,확인 불가,0,0
3,2026-08-26T18:12:24.634Z,863860f,WebGL2,"ANGLE (Intel, Intel(R) Arc(TM) Graphics (0x00007D55) Direct3D11 vs_5_0 ps_5_0, D3D11)",low,m0b-bench-v3-mainpath,125.31,29.66,0,63,62,71.87,308.6,확인 불가,0,0
median,2026-08-26T18:12:24.634Z,863860f,WebGL2,"ANGLE (Intel, Intel(R) Arc(TM) Graphics (0x00007D55) Direct3D11 vs_5_0 ps_5_0, D3D11)",low,m0b-bench-v3-mainpath,125.31,29.66,0,63,62,71.87,247.76,확인 불가,0,0
