run,date,build_hash,backend,angle,preset,routeHash,avg_fps,low1_fps,hitch_1s,calls,programs,textureGpuMB,jsHeapPeakMB,processRAMGB,crash,errors
1,2026-08-26T10:47:12.532Z,9c86125,WebGL2,"ANGLE (Intel, Intel(R) Arc(TM) Graphics (0x00007D55) Direct3D11 vs_5_0 ps_5_0, D3D11)",low,m0b-bench-v3-mainpath,140.37,35.91,0,63,40,36.88,133.88,확인 불가,0,0
2,2026-08-26T10:48:17.921Z,9c86125,WebGL2,"ANGLE (Intel, Intel(R) Arc(TM) Graphics (0x00007D55) Direct3D11 vs_5_0 ps_5_0, D3D11)",low,m0b-bench-v3-mainpath,140.18,34.64,0,63,40,36.88,216,확인 불가,0,0
3,2026-08-26T10:49:23.991Z,9c86125,WebGL2,"ANGLE (Intel, Intel(R) Arc(TM) Graphics (0x00007D55) Direct3D11 vs_5_0 ps_5_0, D3D11)",low,m0b-bench-v3-mainpath,141.02,41.03,0,63,40,36.88,213.92,확인 불가,0,0
median,2026-08-26T10:49:23.992Z,9c86125,WebGL2,"ANGLE (Intel, Intel(R) Arc(TM) Graphics (0x00007D55) Direct3D11 vs_5_0 ps_5_0, D3D11)",low,m0b-bench-v3-mainpath,140.37,35.91,0,63,40,36.88,213.92,확인 불가,0,0
