run,date,build_hash,backend,angle,preset,routeHash,avg_fps,low1_fps,hitch_1s,calls,programs,textureGpuMB,jsHeapPeakMB,processRAMGB,crash,errors
1,2026-08-26T12:51:01.199Z,87ee4d6,WebGL2,"ANGLE (Intel, Intel(R) Arc(TM) Graphics (0x00007D55) Direct3D11 vs_5_0 ps_5_0, D3D11)",low,m0b-bench-v3-mainpath,137.44,23.33,1,57,40,34.55,131.63,확인 불가,0,0
2,2026-08-26T12:52:06.560Z,87ee4d6,WebGL2,"ANGLE (Intel, Intel(R) Arc(TM) Graphics (0x00007D55) Direct3D11 vs_5_0 ps_5_0, D3D11)",low,m0b-bench-v3-mainpath,140.69,38.27,0,57,40,34.55,196.09,확인 불가,0,0
3,2026-08-26T12:53:13.415Z,87ee4d6,WebGL2,"ANGLE (Intel, Intel(R) Arc(TM) Graphics (0x00007D55) Direct3D11 vs_5_0 ps_5_0, D3D11)",low,m0b-bench-v3-mainpath,140.97,40.26,0,57,40,34.55,215.55,확인 불가,0,0
median,2026-08-26T12:53:13.415Z,87ee4d6,WebGL2,"ANGLE (Intel, Intel(R) Arc(TM) Graphics (0x00007D55) Direct3D11 vs_5_0 ps_5_0, D3D11)",low,m0b-bench-v3-mainpath,140.69,38.27,0,57,40,34.55,196.09,확인 불가,0,0
