asset_id,display_name,type,source,source_url,license,license_url,acquired_at,acquired_by,author,attribution_required,redistribution_allowed,ai_training_allowed,dcc_file,export_file,runtime_file,tris_lod0,texture_res,notes
asset.village.house.a,KayKit red cottage A,SM,kaykit,https://kaylousberg.itch.io/kaykit-medieval-hexagon,CC0,https://creativecommons.org/publicdomain/zero/1.0/,2026-08-27,729f5ac5,Kay Lousberg,no,yes,yes,DCC/incoming/asset.village.house.a/building_home_A_red.glb,none,none,1011,1024x1024,source=building_home_A_red.gltf; self-contained GLB; materials=1; embedded atlas=1; red-roof cottage fallback for mushroom-house brief
asset.village.house.b,KayKit red cottage B,SM,kaykit,https://kaylousberg.itch.io/kaykit-medieval-hexagon,CC0,https://creativecommons.org/publicdomain/zero/1.0/,2026-08-27,729f5ac5,Kay Lousberg,no,yes,yes,DCC/incoming/asset.village.house.b/building_home_B_red.glb,none,none,1393,1024x1024,source=building_home_B_red.gltf; self-contained GLB; materials=1; embedded atlas=1; red-roof cottage fallback for mushroom-house brief
asset.village.house.c,KayKit red tavern cottage,SM,kaykit,https://kaylousberg.itch.io/kaykit-medieval-hexagon,CC0,https://creativecommons.org/publicdomain/zero/1.0/,2026-08-27,729f5ac5,Kay Lousberg,no,yes,yes,DCC/incoming/asset.village.house.c/building_tavern_red.glb,none,none,2992,1024x1024,source=building_tavern_red.gltf; self-contained GLB; materials=1; embedded atlas=1; largest silhouette variant
asset.prop.fence.a,KayKit wooden fence,SM,kaykit,https://kaylousberg.itch.io/kaykit-medieval-hexagon,CC0,https://creativecommons.org/publicdomain/zero/1.0/,2026-08-27,729f5ac5,Kay Lousberg,no,yes,yes,DCC/incoming/asset.prop.fence.a/fence_wood_straight.glb,none,none,212,1024x1024,source=fence_wood_straight.gltf; self-contained GLB; materials=1; embedded atlas=1
asset.prop.stonewall.a,KayKit stone fence wall,SM,kaykit,https://kaylousberg.itch.io/kaykit-medieval-hexagon,CC0,https://creativecommons.org/publicdomain/zero/1.0/,2026-08-27,729f5ac5,Kay Lousberg,no,yes,yes,DCC/incoming/asset.prop.stonewall.a/fence_stone_straight.glb,none,none,284,1024x1024,source=fence_stone_straight.gltf; self-contained GLB; materials=1; embedded atlas=1
asset.prop.arch.a,KayKit stone gate arch,SM,kaykit,https://kaylousberg.itch.io/kaykit-medieval-hexagon,CC0,https://creativecommons.org/publicdomain/zero/1.0/,2026-08-27,729f5ac5,Kay Lousberg,no,yes,yes,DCC/incoming/asset.prop.arch.a/wall_straight_gate.glb,none,none,820,1024x1024,source=wall_straight_gate.gltf; self-contained GLB; materials=1; embedded atlas=1
asset.prop.banner.a,KayKit red flag banner,SM,kaykit,https://kaylousberg.itch.io/kaykit-medieval-hexagon,CC0,https://creativecommons.org/publicdomain/zero/1.0/,2026-08-27,729f5ac5,Kay Lousberg,no,yes,yes,DCC/incoming/asset.prop.banner.a/flag_red.glb,none,none,48,1024x1024,source=flag_red.gltf; self-contained GLB; materials=1; embedded atlas=1
